log_id,timestamp,cmdb_id,log_name,value
c9MzpX8BDiVcQfZw0qJp,1647744108,frontend-2,log_frontend-service_application,"severity: debug, message: request started"
XbBCpH8BDiVcQfZwrCGR,1647728304,frontend-0,log_frontend-service_application,"severity: debug, message: serving product page"
WEXUpn8BDiVcQfZwF1x-,1647771389,currencyservice-0,log_currencyservice-service_application,"severity: info, message: received conversion request"
AMsXpX8BDiVcQfZwojiD,1647742260,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
WiJDpn8BDiVcQfZws_Qy,1647761927,currencyservice-2,log_currencyservice-service_application,"severity: info, message: received conversion request"
0bBGpH8BDiVcQfZw5Y1z,1647728579,frontend-1,log_frontend-service_application,"severity: debug, message: request started"
fdxRpX8BDiVcQfZwYGOD,1647746046,cartservice-2,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
C437on8BDiVcQfZw12VT,1647706885,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
PPu8pX8BDiVcQfZwfEq3,1647753066,frontend-2,log_frontend-service_application,"severity: debug, message: serving product page"
Nxkhpn8BDiVcQfZwUdBv,1647759674,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
-rRspH8BDiVcQfZwmvOh,1647731052,cartservice-1,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
-77HpH8BDiVcQfZwopd8,1647737018,frontend-2,log_frontend-service_application,"severity: debug, message: request started"
6BMKpn8BDiVcQfZwtzAy,1647758192,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
fB41pn8BDiVcQfZwC8ig,1647760966,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
ceFipX8BDiVcQfZwBpBu,1647747136,cartservice-2,log_cartservice-service_application,     Executing endpoint 'gRPC - /hipstershop.CartService/GetCart'
SMLppH8BDiVcQfZwj2cZ,1647739242,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
gUfapn8BDiVcQfZwU5qb,1647771798,cartservice-0,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
-cYGpX8BDiVcQfZwSer3,1647741124,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
GJ2No38BDiVcQfZwLgt_,1647716410,cartservice-1,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/AddItem'
pZAZo38BDiVcQfZwJT4C,1647708807,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
WyA7pn8BDiVcQfZwjGwk,1647761392,frontend-1,log_frontend-service_application,"severity: info, message: home"
pCxcpn8BDiVcQfZw-nz2,1647763584,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
Nul_pX8BDiVcQfZwSfC2,1647749054,currencyservice-0,log_currencyservice-service_application,"severity: info, message: received conversion request"
j6TZo38BDiVcQfZwNr44,1647721392,frontend-0,log_frontend-service_application,"severity: debug, message: request started"
XLeCpH8BDiVcQfZwbx17,1647732483,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[2]
6C5jpn8BDiVcQfZwb9Ie,1647764005,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
RTNypn8BDiVcQfZwZQMz,1647764988,cartservice-0,log_cartservice-service_application,     Request finished in 0.7443ms 200 application/grpc
silWpn8BDiVcQfZwOpwK,1647763140,frontend-2,log_frontend-service_application,"severity: debug, message: request started"
pMYDpX8BDiVcQfZwqX3k,1647740952,currencyservice-0,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
Z88npX8BDiVcQfZw-oj8,1647743333,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
Ry9mpn8BDiVcQfZwIquy,1647764181,shippingservice-0,log_shippingservice-service_application,"severity: info, message: [GetQuote] completed request"
Bp-qo38BDiVcQfZwKN99,1647718309,frontend-0,log_frontend-service_application,"severity: debug, message: request complete"
DNlKpX8BDiVcQfZwH3pV,1647745570,currencyservice-2,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
4-RspX8BDiVcQfZwkwk7,1647747828,cartservice-1,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[2]
Ei5jpn8BDiVcQfZwPMMc,1647763991,shippingservice-1,log_shippingservice-service_application,"severity: info, message: [GetQuote] completed request"
-E_2pn8BDiVcQfZw7aNU,1647773673,cartservice-0,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/EmptyCart'
hwrxpX8BDiVcQfZwGccU,1647756513,currencyservice-0,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
mWmSp38BDiVcQfZwY0Rq,1647783859,frontend-0,log_frontend-service_application,"severity: debug, message: view user cart"
WGqbp38BDiVcQfZwkFDm,1647784461,frontend-2,log_frontend-service_application,"severity: debug, message: setting currency"
r07wpn8BDiVcQfZw0w7o,1647773272,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
tNhEpX8BDiVcQfZwpR--,1647745212,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
kF1Ap38BDiVcQfZwZgq9,1647778488,frontend-2,log_frontend-service_application,"severity: debug, message: setting currency"
XvCXpX8BDiVcQfZw3R5u,1647750665,cartservice-1,log_cartservice-service_application,etCartAsync called with userId=10a9c48d-a2c0-4219-ad72-6aefc555a070
VTR9pn8BDiVcQfZwhUhA,1647765714,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
qthHpX8BDiVcQfZwns2H,1647745406,currencyservice-0,log_currencyservice-service_application,"severity: info, message: received conversion request"
7CZPpn8BDiVcQfZwquvL,1647762711,shippingservice-0,log_shippingservice-service_application,"severity: info, message: [GetQuote] completed request"
YjBnpn8BDiVcQfZwmg_L,1647764279,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
aGRrp38BDiVcQfZwdBIR,1647781308,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
GWyzp38BDiVcQfZwEVbj,1647786002,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
wpAYo38BDiVcQfZw3DYR,1647708784,cartservice-0,log_cartservice-service_application,etCartAsync called with userId=976bc0e4-6b61-41fe-b9b7-4f8052362fbc
V11Ap38BDiVcQfZwoBH6,1647778502,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
vv7GpX8BDiVcQfZwVBqV,1647753710,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[2]
u2y2p38BDiVcQfZwn6PJ,1647786233,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
wpIro38BDiVcQfZwJgBo,1647709985,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
sDigpn8BDiVcQfZwzesc,1647768028,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
HfzBpX8BDiVcQfZwr6XM,1647753406,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
mNdDpX8BDiVcQfZwf9qZ,1647745136,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
v7iPpH8BDiVcQfZw-GuV,1647733370,cartservice-1,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
MZ-oo38BDiVcQfZwS7G1,1647718187,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
BdAspX8BDiVcQfZwGvMC,1647743603,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
T_zApX8BDiVcQfZw_HBZ,1647753360,shippingservice-2,log_shippingservice-service_application,"severity: info, message: [GetQuote] received request"
_Zdao38BDiVcQfZwpmV8,1647713099,cartservice-2,log_cartservice-service_application,etCartAsync called with userId=d711ae07-dee4-4359-9342-c3145af3e14c
DS1fpn8BDiVcQfZwYTV0,1647763742,cartservice-1,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
ZcLupH8BDiVcQfZwPdvq,1647739547,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
ti5hpn8BDiVcQfZwmSrr,1647763886,cartservice-1,log_cartservice-service_application,     Executing endpoint 'gRPC - /hipstershop.CartService/GetCart'
BZM8o38BDiVcQfZwmuQV,1647711130,cartservice-1,log_cartservice-service_application,     Request finished in 0.7387ms 200 application/grpc
gZ6Wo38BDiVcQfZwsAJP,1647717033,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
OVccp38BDiVcQfZwB-Q_,1647776101,frontend-2,log_frontend-service_application,"severity: debug, message: request complete"
VgTZpX8BDiVcQfZwLm-i,1647754947,frontend-0,log_frontend-service_application,"severity: debug, message: serving product page"
aBEDpn8BDiVcQfZw2nJh,1647757742,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
fLFPpH8BDiVcQfZw02sq,1647729166,currencyservice-0,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
a5hko38BDiVcQfZw825S,1647713772,shippingservice-1,log_shippingservice-service_application,"severity: info, message: [GetQuote] received request"
USJBpn8BDiVcQfZwyDGZ,1647761801,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
