log_id,timestamp,cmdb_id,log_name,value
dB_ppn8BmS57GQLk1OtZ,1647772815,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
3-5ppn8BmS57GQLkNgG_,1647764385,adservice-0,log_adservice-service_application,at hipstershop.AdServiceGrpc$MethodHandlers.invoke(AdServiceGrpc.java:217)
YaVypX8BmS57GQLkGlpl,1647748190,recommendationservice-1,log_recommendationservice-service_application,"severity: INFO, message: [Recv ListRecommendations] product_ids=['L9ECAV7KIM', '9SIQT8TOJO', 'LS4PSXUNUM', '1YMWWN1N4O', '6E92ZMYYFZ']"
qulcpn8BmS57GQLkpmD3,1647763562,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
Ry8Fp38BmS57GQLkxFoq,1647774645,shippingservice-0,log_shippingservice-service_application,"severity: info, message: [GetQuote] completed request"
Ee9vpn8BmS57GQLkeeka,1647764796,recommendationservice-2,log_recommendationservice-service_application,"severity: INFO, message: [Recv ListRecommendations] product_ids=['66VCHSJNUP', 'L9ECAV7KIM', '0PUK6V6EV0', 'OLJCESPC7Z', 'LS4PSXUNUM']"
HGbHo38BmS57GQLkxWRE,1647720250,frontend-2,log_frontend-service_application,"severity: debug, message: request complete"
icv0pX8BmS57GQLkNwkm,1647756718,cartservice-1,log_cartservice-service_application,     Request starting HTTP/2 POST http://cartservice:7070/hipstershop.CartService/GetCart application/grpc 
k_Bypn8BmS57GQLkndoy,1647765001,recommendationservice-2,log_recommendationservice-service_application,"severity: INFO, message: [Recv ListRecommendations] product_ids=['2ZYFJ3GM2N', '0PUK6V6EV0', '9SIQT8TOJO', 'L9ECAV7KIM', '1YMWWN1N4O']"
rBTQpn8BmS57GQLkset7,1647771166,cartservice-2,log_cartservice-service_application,     Request starting HTTP/2 POST http://cartservice:7070/hipstershop.CartService/GetCart application/grpc 
Eh3mpn8BmS57GQLkQff2,1647772580,adservice-0,log_adservice-service_application,at hipstershop.AdServiceGrpc$MethodHandlers.invoke(AdServiceGrpc.java:217)
W7etpX8BmS57GQLkmQ-Z,1647752089,adservice-0,log_adservice-service_application,EVERE: Exception while executing runnable io.grpc.internal.ServerImpl$JumpToApplicationThreadServerStreamListener$1HalfClosed@1cd639f6
MR3lpn8BmS57GQLkT3pV,1647772518,cartservice-2,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
Rx_ppn8BmS57GQLk8_xy,1647772822,adservice-0,log_adservice-service_application,
40Iwp38BmS57GQLkhbNK,1647777447,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
3UApp38BmS57GQLkb1d-,1647776982,frontend-0,log_frontend-service_application,"severity: debug, message: serving product page"
_iwBp38BmS57GQLka_GQ,1647774361,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
